,subject_doc_id,visitor_uuid,also_like_doc
14925,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,130915194528-f58f6636ac5b17fc4a4177ea996e79a2
14926,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,130928001910-d0b475d076cf4e9e2f18961ef4685150
14927,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,131023031532-cfb22c24c6959955148690659cec6e64
14928,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce
14929,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,131211025614-8c16dad77199f6f3603bce97cfd0408f
14930,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,140105142322-a4810fbeacced4903b798ab65f1b47f0
14931,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,140121141323-b1f37679fe556d3b902389635bc0b85c
14932,131206124047-142965e9a1bd40468123944effe381ac,44ba1e7dd17ed604,140222125243-a5e5149b4fa8a9a1c53a3e8885e33593
14933,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,120316032022-000000000669dc1822a772ae23afcee6
14934,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,120331022631-48371af1deec45b2a3277d7307461c1b
14935,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,120617131200-430d065844df45039fdcdc1aa82c879a
14936,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,120712202848-000000005a4b8edb1202f41d9ebcbda1
14937,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,120715151217-0000000073dcf786ded332989fa5c0af
14938,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,121026221321-00000000278e9ddbdf295f0577f672b0
14939,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,121026223629-000000003164d6b9336631e91d3703f0
14940,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,121105154628-8d06a90d1f4840539687faa012b7517a
14941,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,130706015649-b6f1aabaa64748d4c7d62a3b7fcf846d
14942,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,130915194328-c2d329ee2d5b9e32ee199c69eab3815c
14943,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,130915194528-f58f6636ac5b17fc4a4177ea996e79a2
14944,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,130928001910-d0b475d076cf4e9e2f18961ef4685150
14945,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,131023031532-cfb22c24c6959955148690659cec6e64
14946,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,131206124047-142965e9a1bd40468123944effe381ac
14947,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,131211025614-8c16dad77199f6f3603bce97cfd0408f
14948,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,140105142322-a4810fbeacced4903b798ab65f1b47f0
14949,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,140121141323-b1f37679fe556d3b902389635bc0b85c
14950,131206140124-dc653a15eb41b6ff9d7e33f78a5298ce,44ba1e7dd17ed604,140222125243-a5e5149b4fa8a9a1c53a3e8885e33593
14951,131206170836-1eabb2747cd17084aae7d53b4b30e339,7b598b59de7ab264,140313160343-8adbaa03c8ca4f97633219190cd03d0b
14952,131206205341-224bae2672365618ff13bc6fcee7ece9,dfcb10de3bc3aa20,130730002913-4397b6297b1de5675ca40934b85067ef
14953,131206205341-224bae2672365618ff13bc6fcee7ece9,dfcb10de3bc3aa20,130809165516-b24fa99f113f440899584e372cb5e1e9
14954,131206205341-224bae2672365618ff13bc6fcee7ece9,dfcb10de3bc3aa20,131206225000-3c0afa79abc23091cd61ec02a6d7b468
